,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
0,臺北市北投區致遠二路15巷1~30號,42.0,4.0,4,47,105.97,3,2,2,0,21500000,202888,RPOPMLLKJIOFFEA47CA,1,1,0,108,624270.7692307692,129.23076923076923,326.0615384615384,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1145036,121.511651
1,臺北市北投區溫泉路65巷1~30號,5.22,12.0,4,43,56.9,2,1,1,1,8500000,149385,RPPQMLLKJIOFFEA67CA,2,1,0,108,459646.1538461538,16.06153846153846,175.07692307692307,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1354116,121.5047719
2,臺北市北投區知行路293巷1~30號,17.59,11.0,4,12,124.36,2,2,1,1,13000000,104535,RPXNMLMKJIOFFEA28CA,1,1,1,108,321646.1538461538,54.12307692307692,382.6461538461538,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1218271,121.4671598
3,臺北市北投區知行路331~360號,10.2,13.0,4,24,70.18,2,1,1,1,8400000,119692,RPOOMLMKJIOFFEA47CA,1,1,0,108,368283.07692307694,31.38461538461538,215.93846153846155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.1229016,121.4667519
4,臺北市北投區幽雅路1~30號,7.88,13.0,4,12,48.8,0,0,0,1,4880000,100000,RPPNMLNKJIOFFEA57CA,1,1,0,108,307692.3076923077,24.246153846153845,150.15384615384613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.137655,121.513193
5,臺北市北投區中央北路一段181~210號,115.0,1.0,2,35,107.66,2,1,3,0,42000000,390117,RPTOMLMLJIOFFEA08CA,2,1,0,108,1200360.0,353.8461538461538,331.26153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.1356489,121.49785
6,臺北市北投區中山路1~30號,4.13,8.0,4,43,25.5,1,0,1,0,2500000,98039,RPVNMLTJKIOFFEA78CA,1,1,0,108,301658.4615384615,12.707692307692307,78.46153846153845,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.1370957,121.5046366
7,臺北市北投區實踐街1~30號,28.4,5.0,4,45,91.42,3,2,2,0,10000000,109385,RPSPMLKKKIOFFEA87CA,1,1,0,108,336569.23076923075,87.38461538461537,281.2923076923077,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1146721,121.5072665
8,臺北市北投區中央北路二段95巷1弄31~60號,19.83,5.0,4,44,85.8,2,2,1,0,2660000,31002,RPVNMLNKJIOFFEA28DA,1,1,0,108,95390.76923076923,61.015384615384605,264.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1361224,121.4962162
9,臺北市北投區懷德街105巷1~30號,36.75,4.0,4,48,87.3,2,2,1,0,19100000,218786,RPSPMLPKJIOFFEA38DA,1,1,0,108,673187.6923076923,113.07692307692307,268.6153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1152192,121.5198014
10,臺北市北投區公?路63巷1~30號,41.0,4.0,4,44,108.83,4,2,1,0,9500000,87292,RPVOMLKKKIOFFEA08CA,1,1,0,108,268590.76923076925,126.15384615384615,334.86153846153843,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1327679,121.503932
11,臺北市北投區中央南路一段130巷1~30號,49.0,,2,64,39.0,0,0,0,0,7330000,187949,RPQOMLTKJIOFFEA38CA,1,1,0,108,578304.6153846154,150.76923076923077,120.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.130085,121.500793
12,臺北市北投區珠海路1~30號,8.23,14.0,4,24,65.83,2,1,1,1,11000000,167097,RPQQMLOKJIOFFEA08CA,1,1,0,108,514144.6153846154,25.323076923076922,202.55384615384614,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1377908,121.5015551
13,臺北市北投區大同街211~240號,12.6,5.0,4,44,61.0,2,1,1,0,5500000,90164,RPWNMLSKJIOFFEA78CA,1,1,0,108,277427.6923076923,38.76923076923077,187.69230769230768,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1378439,121.4990857
14,臺北市北投區稻香路151~180號,53.17,5.0,4,4,201.13,2,3,2,1,25700000,135989,RPTOMLPLJIOFFEA38CA,1,1,1,108,418427.6923076923,163.6,618.8615384615384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1424409,121.489377
15,臺北市北投區西安街二段275巷1~30號,74.68,4.0,4,15,220.14,1,2,2,0,38000000,172617,RPQPMLLLJIOFFEA77CA,1,1,0,108,531129.2307692308,229.7846153846154,677.3538461538461,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1204698,121.5067604
16,臺北市北投區翠宜路9巷1~30號,88.76,7.0,4,27,180.6,3,2,2,1,15800000,87486,RPWPMLQJKIOFFEA78CA,1,1,1,108,269187.6923076923,273.10769230769233,555.6923076923076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1427883,121.5052004
17,臺北市北投區泉源路1~30號,125.46,7.0,4,40,521.8100000000001,3,2,4,1,52000000,99653,RPROMLRLKIOFFEA48CA,2,1,0,108,306624.6153846154,386.0307692307692,1605.569230769231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.143344,121.518621
18,臺北市北投區行義路186巷31~60號,19.86,7.0,4,37,80.88,2,1,1,1,8700000,107567,RPSNMLMLJIOFFEA87CA,1,1,0,108,330975.3846153846,61.107692307692304,248.86153846153843,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1331008,121.529663
19,臺北市北投區文化三路31~60號,45.57,7.0,4,35,143.38,4,2,2,1,14000000,97643,RPTOMLQLJIOFFEA48CA,2,1,0,108,300440.0,140.2153846153846,441.16923076923075,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1383498,121.4977186
20,臺北市北投區磺港路121~150號,31.93,18.0,4,2,295.11,4,2,3,1,47550000,192668,RPQSMLPKJIOFFEA38CA,1,1,2,104,592824.6153846154,98.24615384615385,908.0307692307692,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1298243,121.5035223
21,臺北市北投區立農街二段271~300號,53.87,4.0,4,44,134.39,4,2,2,0,17500000,130218,RPWOMLTKJIOFFEA98CA,1,1,0,108,400670.7692307692,165.75384615384613,413.50769230769225,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1188982,121.5149559
22,臺北市北投區中央北路三段40巷34弄1~30號,25.06,21.0,4,9,184.04000000000002,3,2,2,1,23000000,124973,RPQNMLPKJIOFFEA87CA,1,1,1,108,384532.3076923077,77.1076923076923,566.2769230769231,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1395359,121.4850091
23,臺北市北投區尊賢街243巷1~30號,35.5,4.0,4,48,94.1,3,2,1,0,12550000,133369,RPROMLOKJIOFFEA97CA,1,1,0,108,410366.1538461538,109.23076923076923,289.5384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1169823,121.5071471
24,臺北市北投區三合街一段79巷1~30號,23.48,9.0,4,5,153.72,2,2,2,1,22550000,146695,RPSSMLPKJIOFFEA58CA,1,1,1,108,451369.23076923075,72.24615384615385,472.9846153846154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1255142,121.5055679
25,臺北市北投區三合街二段421~450號,24.94,18.0,4,23,126.14,3,2,2,1,17000000,134771,RPRNMLQKJIOFFEA08CA,1,1,1,108,414680.0,76.73846153846154,388.1230769230769,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.1265556,121.5027979
26,臺北市北投區行義路186巷1~30號,21.77,7.0,4,37,103.46,3,1,2,1,14800000,143050,RPUPMLMLJIOFFEA28CA,1,1,0,108,440153.8461538461,66.98461538461538,318.3384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.132623,121.528973
27,臺北市北投區大度路怡和巷4弄1~30號,37.5,2.0,3,53,46.94,4,1,2,0,1408050,29997,RPROMLMLJIOFFEA87CA,1,1,0,108,92298.46153846153,115.38461538461539,144.43076923076922,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.1222233,121.4959813
28,臺北市北投區復興三路31~60號,40.28,5.0,4,4,108.08,2,2,1,1,18000000,186554,RPQNMLQKKIOFFEA08CA,1,1,1,108,574012.3076923076,123.93846153846154,332.5538461538461,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1444376,121.5028792
29,臺北市北投區知行路181~210號,41.67,5.0,4,32,136.96,6,3,3,0,13380000,97693,RPOOMLTKJIOFFEA28DA,1,1,0,108,300593.8461538461,128.2153846153846,421.41538461538465,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1191212,121.4659683
30,臺北市北投區中和街20巷1~30號,9.51,13.0,4,15,86.7,2,2,1,1,10680000,123183,RPXNMLTLJIOFFEA56DA,3,1,1,108,379024.6153846154,29.26153846153846,266.7692307692308,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.137912,121.5033661
31,臺北市北投區三合街一段31~60號,14.58,10.0,4,4,71.61,2,1,1,1,15750000,219941,RPRPMLMKKIOFFEA97CA,1,1,0,108,676741.5384615384,44.86153846153846,220.33846153846153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1268606,121.504756
32,臺北市北投區行義路121~150號,11.58,8.0,4,40,73.33,3,2,1,1,7500000,102277,RPVPMLTKJIOFFEA98CA,1,1,0,108,314698.4615384615,35.63076923076923,225.6307692307692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1285057,121.529186
